pk_cid,cluster,cluster_name
1206119,2,Inactivos Totales
1206120,6,Alto Potencial Virgen
1206121,8,Emergentes Premium
1206122,8,Emergentes Premium
1206123,2,Inactivos Totales
1206124,5,Jóvenes Activos Básicos
1206127,6,Alto Potencial Virgen
1206128,2,Inactivos Totales
1206129,2,Inactivos Totales
1206130,6,Alto Potencial Virgen
1206131,1,Universitarios Estándar
1206132,1,Universitarios Estándar
1206133,2,Inactivos Totales
1206134,7,Valor Medio-Alto
1206135,4,Alto Valor Principal
1206136,2,Inactivos Totales
1206137,6,Alto Potencial Virgen
1206138,2,Inactivos Totales
1206139,1,Universitarios Estándar
1206140,5,Jóvenes Activos Básicos
1206142,1,Universitarios Estándar
1206144,6,Alto Potencial Virgen
1206145,2,Inactivos Totales
1206146,1,Universitarios Estándar
1206147,6,Alto Potencial Virgen
1206148,5,Jóvenes Activos Básicos
1206149,6,Alto Potencial Virgen
1206150,6,Alto Potencial Virgen
1206151,3,Profesionales Dormidos
1206152,2,Inactivos Totales
1206153,7,Valor Medio-Alto
1206154,6,Alto Potencial Virgen
1206155,2,Inactivos Totales
1206158,1,Universitarios Estándar
1206159,6,Alto Potencial Virgen
1206160,1,Universitarios Estándar
1206161,8,Emergentes Premium
1206163,6,Alto Potencial Virgen
1206164,1,Universitarios Estándar
1206165,6,Alto Potencial Virgen
1206166,2,Inactivos Totales
1206167,1,Universitarios Estándar
1206168,2,Inactivos Totales
1206169,6,Alto Potencial Virgen
1206170,1,Universitarios Estándar
1206171,6,Alto Potencial Virgen
1206172,8,Emergentes Premium
1206174,6,Alto Potencial Virgen
1206175,6,Alto Potencial Virgen
1206176,6,Alto Potencial Virgen
1206177,6,Alto Potencial Virgen
1206178,7,Valor Medio-Alto
1206179,5,Jóvenes Activos Básicos
1206180,6,Alto Potencial Virgen
1206181,2,Inactivos Totales
1206182,2,Inactivos Totales
1206183,2,Inactivos Totales
1206184,5,Jóvenes Activos Básicos
1206186,1,Universitarios Estándar
1206187,6,Alto Potencial Virgen
1206188,2,Inactivos Totales
1206189,6,Alto Potencial Virgen
1206190,5,Jóvenes Activos Básicos
1206191,2,Inactivos Totales
1206192,7,Valor Medio-Alto
1206193,6,Alto Potencial Virgen
1206194,2,Inactivos Totales
1206195,2,Inactivos Totales
1206196,5,Jóvenes Activos Básicos
1206197,2,Inactivos Totales
1206198,2,Inactivos Totales
1206199,2,Inactivos Totales
1206200,5,Jóvenes Activos Básicos
1206201,1,Universitarios Estándar
1206202,2,Inactivos Totales
1206203,2,Inactivos Totales
1206204,7,Valor Medio-Alto
1206205,3,Profesionales Dormidos
1206206,8,Emergentes Premium
1206207,5,Jóvenes Activos Básicos
1206209,5,Jóvenes Activos Básicos
1206210,7,Valor Medio-Alto
1206211,2,Inactivos Totales
1206212,2,Inactivos Totales
1206213,4,Alto Valor Principal
1206215,1,Universitarios Estándar
1206216,5,Jóvenes Activos Básicos
1206218,4,Alto Valor Principal
1206220,5,Jóvenes Activos Básicos
1206222,8,Emergentes Premium
1206223,5,Jóvenes Activos Básicos
1206224,6,Alto Potencial Virgen
1206225,5,Jóvenes Activos Básicos
1206226,6,Alto Potencial Virgen
1206227,5,Jóvenes Activos Básicos
1206228,8,Emergentes Premium
1206230,6,Alto Potencial Virgen
1206231,3,Profesionales Dormidos
1206232,5,Jóvenes Activos Básicos
1206233,6,Alto Potencial Virgen
1206234,3,Profesionales Dormidos
1206235,6,Alto Potencial Virgen
1206236,5,Jóvenes Activos Básicos
1206237,6,Alto Potencial Virgen
1206238,6,Alto Potencial Virgen
1206239,8,Emergentes Premium
1206240,7,Valor Medio-Alto
1206241,7,Valor Medio-Alto
1206242,6,Alto Potencial Virgen
1206243,6,Alto Potencial Virgen
1206244,1,Universitarios Estándar
1206245,6,Alto Potencial Virgen
1206247,2,Inactivos Totales
1206248,3,Profesionales Dormidos
1206249,8,Emergentes Premium
1206250,6,Alto Potencial Virgen
1206251,6,Alto Potencial Virgen
1206252,6,Alto Potencial Virgen
1206253,2,Inactivos Totales
1206254,5,Jóvenes Activos Básicos
1206255,8,Emergentes Premium
1206256,2,Inactivos Totales
1206257,5,Jóvenes Activos Básicos
1206258,6,Alto Potencial Virgen
1206259,2,Inactivos Totales
1206261,5,Jóvenes Activos Básicos
1206263,5,Jóvenes Activos Básicos
1206264,6,Alto Potencial Virgen
1206265,2,Inactivos Totales
1206266,5,Jóvenes Activos Básicos
1206269,5,Jóvenes Activos Básicos
1206270,5,Jóvenes Activos Básicos
1206271,6,Alto Potencial Virgen
1206272,2,Inactivos Totales
1206273,2,Inactivos Totales
1206274,5,Jóvenes Activos Básicos
1206275,2,Inactivos Totales
1206276,3,Profesionales Dormidos
1206277,5,Jóvenes Activos Básicos
1206278,6,Alto Potencial Virgen
1206279,2,Inactivos Totales
1206280,2,Inactivos Totales
1206281,2,Inactivos Totales
1206282,1,Universitarios Estándar
1206283,2,Inactivos Totales
1206284,2,Inactivos Totales
1206285,6,Alto Potencial Virgen
1206286,6,Alto Potencial Virgen
1206287,8,Emergentes Premium
1206288,5,Jóvenes Activos Básicos
1206289,8,Emergentes Premium
1206290,6,Alto Potencial Virgen
1206291,2,Inactivos Totales
1206292,5,Jóvenes Activos Básicos
1206293,2,Inactivos Totales
1206294,5,Jóvenes Activos Básicos
1206296,6,Alto Potencial Virgen
1206297,8,Emergentes Premium
1206298,5,Jóvenes Activos Básicos
1206299,2,Inactivos Totales
1206300,2,Inactivos Totales
1206301,8,Emergentes Premium
1206302,7,Valor Medio-Alto
1206303,5,Jóvenes Activos Básicos
1206304,5,Jóvenes Activos Básicos
1206305,6,Alto Potencial Virgen
1206306,6,Alto Potencial Virgen
1206307,2,Inactivos Totales
1206308,2,Inactivos Totales
1206309,6,Alto Potencial Virgen
1206310,6,Alto Potencial Virgen
1206311,7,Valor Medio-Alto
1206312,5,Jóvenes Activos Básicos
1206313,6,Alto Potencial Virgen
1206314,2,Inactivos Totales
1206315,1,Universitarios Estándar
1206316,5,Jóvenes Activos Básicos
1206317,1,Universitarios Estándar
1206318,6,Alto Potencial Virgen
1206319,6,Alto Potencial Virgen
1206320,2,Inactivos Totales
1206321,2,Inactivos Totales
1206322,5,Jóvenes Activos Básicos
1206324,6,Alto Potencial Virgen
1206325,6,Alto Potencial Virgen
1206326,5,Jóvenes Activos Básicos
1206327,5,Jóvenes Activos Básicos
1206329,2,Inactivos Totales
1206330,6,Alto Potencial Virgen
1206331,5,Jóvenes Activos Básicos
1206332,6,Alto Potencial Virgen
1206333,5,Jóvenes Activos Básicos
1206334,5,Jóvenes Activos Básicos
1206335,2,Inactivos Totales
1206336,5,Jóvenes Activos Básicos
1206338,8,Emergentes Premium
1206339,6,Alto Potencial Virgen
1206340,5,Jóvenes Activos Básicos
1206341,2,Inactivos Totales
1206342,2,Inactivos Totales
1206343,8,Emergentes Premium
1206344,5,Jóvenes Activos Básicos
1206346,5,Jóvenes Activos Básicos
1206347,6,Alto Potencial Virgen
1206348,6,Alto Potencial Virgen
1206350,8,Emergentes Premium
1206351,5,Jóvenes Activos Básicos
1206353,6,Alto Potencial Virgen
1206354,5,Jóvenes Activos Básicos
1206355,5,Jóvenes Activos Básicos
1206356,1,Universitarios Estándar
1206357,8,Emergentes Premium
1206359,8,Emergentes Premium
1206360,8,Emergentes Premium
1206361,6,Alto Potencial Virgen
1206363,2,Inactivos Totales
1206364,6,Alto Potencial Virgen
1206365,5,Jóvenes Activos Básicos
1206366,2,Inactivos Totales
1206367,5,Jóvenes Activos Básicos
1206369,5,Jóvenes Activos Básicos
1206370,4,Alto Valor Principal
1206371,2,Inactivos Totales
1206372,4,Alto Valor Principal
1206373,5,Jóvenes Activos Básicos
1206374,6,Alto Potencial Virgen
1206375,2,Inactivos Totales
1206376,6,Alto Potencial Virgen
1206377,5,Jóvenes Activos Básicos
1206379,5,Jóvenes Activos Básicos
1206380,6,Alto Potencial Virgen
1206381,5,Jóvenes Activos Básicos
1206382,6,Alto Potencial Virgen
1206383,2,Inactivos Totales
1206384,8,Emergentes Premium
1206385,6,Alto Potencial Virgen
1206386,5,Jóvenes Activos Básicos
1206387,6,Alto Potencial Virgen
1206388,1,Universitarios Estándar
1206389,5,Jóvenes Activos Básicos
1206390,6,Alto Potencial Virgen
1206391,4,Alto Valor Principal
1206392,5,Jóvenes Activos Básicos
1206393,8,Emergentes Premium
1206394,2,Inactivos Totales
1206395,6,Alto Potencial Virgen
1206397,5,Jóvenes Activos Básicos
1206398,5,Jóvenes Activos Básicos
1206399,2,Inactivos Totales
1206401,5,Jóvenes Activos Básicos
1206402,5,Jóvenes Activos Básicos
1206403,2,Inactivos Totales
1206404,1,Universitarios Estándar
1206405,6,Alto Potencial Virgen
1206407,5,Jóvenes Activos Básicos
1206409,5,Jóvenes Activos Básicos
1206410,8,Emergentes Premium
1206411,5,Jóvenes Activos Básicos
1206412,6,Alto Potencial Virgen
1206413,5,Jóvenes Activos Básicos
1206414,5,Jóvenes Activos Básicos
1206415,8,Emergentes Premium
1206416,8,Emergentes Premium
1206417,6,Alto Potencial Virgen
1206418,5,Jóvenes Activos Básicos
1206419,3,Profesionales Dormidos
1206420,5,Jóvenes Activos Básicos
1206421,3,Profesionales Dormidos
1206422,6,Alto Potencial Virgen
1206423,5,Jóvenes Activos Básicos
1206424,5,Jóvenes Activos Básicos
1206430,1,Universitarios Estándar
1206431,7,Valor Medio-Alto
1206432,4,Alto Valor Principal
1206434,2,Inactivos Totales
1206436,4,Alto Valor Principal
1206437,5,Jóvenes Activos Básicos
1206439,1,Universitarios Estándar
1206440,5,Jóvenes Activos Básicos
1206441,8,Emergentes Premium
1206442,5,Jóvenes Activos Básicos
1206443,8,Emergentes Premium
1206444,5,Jóvenes Activos Básicos
1206445,7,Valor Medio-Alto
1206447,8,Emergentes Premium
1206448,8,Emergentes Premium
1206449,5,Jóvenes Activos Básicos
1206450,6,Alto Potencial Virgen
1206451,5,Jóvenes Activos Básicos
1206455,4,Alto Valor Principal
1206456,5,Jóvenes Activos Básicos
1206458,4,Alto Valor Principal
1206461,8,Emergentes Premium
1206462,5,Jóvenes Activos Básicos
1206463,8,Emergentes Premium
1206464,6,Alto Potencial Virgen
1206465,5,Jóvenes Activos Básicos
1206467,1,Universitarios Estándar
1206469,1,Universitarios Estándar
1206470,8,Emergentes Premium
1206471,1,Universitarios Estándar
1206472,6,Alto Potencial Virgen
1206473,2,Inactivos Totales
1206474,5,Jóvenes Activos Básicos
1206476,8,Emergentes Premium
1206477,3,Profesionales Dormidos
1206478,5,Jóvenes Activos Básicos
1206479,2,Inactivos Totales
1206480,8,Emergentes Premium
1206481,8,Emergentes Premium
1206482,5,Jóvenes Activos Básicos
1206483,2,Inactivos Totales
1206484,8,Emergentes Premium
1206486,1,Universitarios Estándar
1206488,5,Jóvenes Activos Básicos
1206490,7,Valor Medio-Alto
1206492,4,Alto Valor Principal
1206494,3,Profesionales Dormidos
1206495,6,Alto Potencial Virgen
1206496,5,Jóvenes Activos Básicos
1206499,7,Valor Medio-Alto
1206501,7,Valor Medio-Alto
1206503,8,Emergentes Premium
1206506,7,Valor Medio-Alto
1206507,7,Valor Medio-Alto
1206508,4,Alto Valor Principal
1206511,5,Jóvenes Activos Básicos
1206517,4,Alto Valor Principal
1206519,4,Alto Valor Principal
1206520,4,Alto Valor Principal
1206522,7,Valor Medio-Alto
1206523,4,Alto Valor Principal
1206525,7,Valor Medio-Alto
1206526,4,Alto Valor Principal
1206527,4,Alto Valor Principal
1206528,3,Profesionales Dormidos
1206529,3,Profesionales Dormidos
1206530,7,Valor Medio-Alto
1206531,4,Alto Valor Principal
1206533,5,Jóvenes Activos Básicos
1206534,5,Jóvenes Activos Básicos
1206535,5,Jóvenes Activos Básicos
1206536,3,Profesionales Dormidos
1206537,1,Universitarios Estándar
1206538,3,Profesionales Dormidos
1206539,1,Universitarios Estándar
1206540,4,Alto Valor Principal
1206542,5,Jóvenes Activos Básicos
1206543,5,Jóvenes Activos Básicos
1206544,2,Inactivos Totales
1206545,2,Inactivos Totales
1206546,7,Valor Medio-Alto
1206548,5,Jóvenes Activos Básicos
1206549,5,Jóvenes Activos Básicos
1206550,2,Inactivos Totales
1206551,4,Alto Valor Principal
1206554,1,Universitarios Estándar
1206555,8,Emergentes Premium
1206556,3,Profesionales Dormidos
1206557,2,Inactivos Totales
1206559,2,Inactivos Totales
1206560,1,Universitarios Estándar
1206561,4,Alto Valor Principal
1206562,2,Inactivos Totales
1206563,6,Alto Potencial Virgen
1206567,8,Emergentes Premium
1206569,8,Emergentes Premium
1206571,6,Alto Potencial Virgen
1206572,6,Alto Potencial Virgen
1206573,3,Profesionales Dormidos
1206574,6,Alto Potencial Virgen
1206575,6,Alto Potencial Virgen
1206576,7,Valor Medio-Alto
1206579,1,Universitarios Estándar
1206580,4,Alto Valor Principal
1206582,8,Emergentes Premium
1206584,8,Emergentes Premium
1206585,1,Universitarios Estándar
1206586,8,Emergentes Premium
1206588,5,Jóvenes Activos Básicos
1206589,2,Inactivos Totales
1206590,2,Inactivos Totales
1206591,8,Emergentes Premium
1206593,2,Inactivos Totales
1206594,8,Emergentes Premium
1206596,5,Jóvenes Activos Básicos
1206597,1,Universitarios Estándar
1206598,4,Alto Valor Principal
1206600,3,Profesionales Dormidos
1206601,8,Emergentes Premium
1206604,5,Jóvenes Activos Básicos
1206606,4,Alto Valor Principal
1206608,2,Inactivos Totales
1206610,8,Emergentes Premium
1206613,5,Jóvenes Activos Básicos
1206615,3,Profesionales Dormidos
1206617,7,Valor Medio-Alto
1206619,7,Valor Medio-Alto
1206621,4,Alto Valor Principal
1206622,7,Valor Medio-Alto
1206623,8,Emergentes Premium
1206624,3,Profesionales Dormidos
1206625,6,Alto Potencial Virgen
1206626,2,Inactivos Totales
1206627,6,Alto Potencial Virgen
1206628,8,Emergentes Premium
1206630,3,Profesionales Dormidos
1206631,3,Profesionales Dormidos
1206632,6,Alto Potencial Virgen
1206633,3,Profesionales Dormidos
1206634,3,Profesionales Dormidos
1206635,8,Emergentes Premium
1206636,6,Alto Potencial Virgen
1206637,3,Profesionales Dormidos
1206638,6,Alto Potencial Virgen
1206639,6,Alto Potencial Virgen
1206640,6,Alto Potencial Virgen
1206641,1,Universitarios Estándar
1206642,6,Alto Potencial Virgen
1206643,3,Profesionales Dormidos
1206644,6,Alto Potencial Virgen
1206645,3,Profesionales Dormidos
1206647,6,Alto Potencial Virgen
1206648,6,Alto Potencial Virgen
1206649,3,Profesionales Dormidos
1206650,6,Alto Potencial Virgen
1206651,6,Alto Potencial Virgen
1206652,2,Inactivos Totales
1206653,6,Alto Potencial Virgen
1206654,5,Jóvenes Activos Básicos
1206655,6,Alto Potencial Virgen
1206656,8,Emergentes Premium
1206657,6,Alto Potencial Virgen
1206658,6,Alto Potencial Virgen
1206659,5,Jóvenes Activos Básicos
1206660,1,Universitarios Estándar
1206661,3,Profesionales Dormidos
1206664,2,Inactivos Totales
1206665,6,Alto Potencial Virgen
1206666,2,Inactivos Totales
1206668,6,Alto Potencial Virgen
1206669,2,Inactivos Totales
1206670,6,Alto Potencial Virgen
1206671,2,Inactivos Totales
1206672,6,Alto Potencial Virgen
1206673,6,Alto Potencial Virgen
1206674,2,Inactivos Totales
1206675,2,Inactivos Totales
1206676,6,Alto Potencial Virgen
1206677,5,Jóvenes Activos Básicos
1206679,4,Alto Valor Principal
1206680,5,Jóvenes Activos Básicos
1206681,1,Universitarios Estándar
1206682,6,Alto Potencial Virgen
1206683,8,Emergentes Premium
1206684,6,Alto Potencial Virgen
1206685,6,Alto Potencial Virgen
1206686,2,Inactivos Totales
1206687,6,Alto Potencial Virgen
1206688,6,Alto Potencial Virgen
1206689,6,Alto Potencial Virgen
1206690,5,Jóvenes Activos Básicos
1206691,2,Inactivos Totales
1206692,5,Jóvenes Activos Básicos
1206693,6,Alto Potencial Virgen
1206694,8,Emergentes Premium
1206695,5,Jóvenes Activos Básicos
1206696,6,Alto Potencial Virgen
1206697,1,Universitarios Estándar
1206698,6,Alto Potencial Virgen
1206699,5,Jóvenes Activos Básicos
1206700,6,Alto Potencial Virgen
1206701,6,Alto Potencial Virgen
1206702,2,Inactivos Totales
1206703,6,Alto Potencial Virgen
1206704,8,Emergentes Premium
1206705,1,Universitarios Estándar
1206706,1,Universitarios Estándar
1206707,5,Jóvenes Activos Básicos
1206708,6,Alto Potencial Virgen
1206709,5,Jóvenes Activos Básicos
1206710,2,Inactivos Totales
1206711,5,Jóvenes Activos Básicos
1206712,5,Jóvenes Activos Básicos
1206713,1,Universitarios Estándar
1206714,6,Alto Potencial Virgen
1206715,5,Jóvenes Activos Básicos
1206716,2,Inactivos Totales
1206717,1,Universitarios Estándar
1206719,1,Universitarios Estándar
1206720,2,Inactivos Totales
1206721,1,Universitarios Estándar
1206722,2,Inactivos Totales
1206723,5,Jóvenes Activos Básicos
1206724,3,Profesionales Dormidos
1206725,2,Inactivos Totales
1206726,5,Jóvenes Activos Básicos
1206727,6,Alto Potencial Virgen
1206728,6,Alto Potencial Virgen
1206729,2,Inactivos Totales
1206730,5,Jóvenes Activos Básicos
1206731,6,Alto Potencial Virgen
1206732,6,Alto Potencial Virgen
1206733,2,Inactivos Totales
1206734,5,Jóvenes Activos Básicos
1206736,6,Alto Potencial Virgen
1206737,1,Universitarios Estándar
1206738,2,Inactivos Totales
1206739,6,Alto Potencial Virgen
1206740,5,Jóvenes Activos Básicos
1206741,8,Emergentes Premium
1206742,1,Universitarios Estándar
1206744,5,Jóvenes Activos Básicos
1206745,5,Jóvenes Activos Básicos
1206746,6,Alto Potencial Virgen
1206747,2,Inactivos Totales
1206748,6,Alto Potencial Virgen
1206749,6,Alto Potencial Virgen
1206750,6,Alto Potencial Virgen
1206751,5,Jóvenes Activos Básicos
1206752,1,Universitarios Estándar
1206753,5,Jóvenes Activos Básicos
1206754,5,Jóvenes Activos Básicos
1206755,6,Alto Potencial Virgen
1206756,2,Inactivos Totales
1206757,2,Inactivos Totales
1206758,6,Alto Potencial Virgen
1206759,6,Alto Potencial Virgen
1206760,5,Jóvenes Activos Básicos
1206761,1,Universitarios Estándar
1206763,6,Alto Potencial Virgen
1206764,6,Alto Potencial Virgen
1206765,5,Jóvenes Activos Básicos
1206766,5,Jóvenes Activos Básicos
1206767,6,Alto Potencial Virgen
1206768,6,Alto Potencial Virgen
1206769,8,Emergentes Premium
1206770,8,Emergentes Premium
1206771,6,Alto Potencial Virgen
1206772,1,Universitarios Estándar
1206773,5,Jóvenes Activos Básicos
1206774,5,Jóvenes Activos Básicos
1206775,2,Inactivos Totales
1206776,6,Alto Potencial Virgen
1206777,3,Profesionales Dormidos
1206778,5,Jóvenes Activos Básicos
1206779,5,Jóvenes Activos Básicos
1206780,5,Jóvenes Activos Básicos
1206781,2,Inactivos Totales
1206782,6,Alto Potencial Virgen
1206783,6,Alto Potencial Virgen
1206784,5,Jóvenes Activos Básicos
1206786,2,Inactivos Totales
1206787,5,Jóvenes Activos Básicos
1206788,6,Alto Potencial Virgen
1206789,6,Alto Potencial Virgen
1206790,6,Alto Potencial Virgen
1206791,6,Alto Potencial Virgen
1206792,2,Inactivos Totales
1206793,5,Jóvenes Activos Básicos
1206794,6,Alto Potencial Virgen
1206795,5,Jóvenes Activos Básicos
1206796,2,Inactivos Totales
1206797,1,Universitarios Estándar
1206798,6,Alto Potencial Virgen
1206799,2,Inactivos Totales
1206800,5,Jóvenes Activos Básicos
1206801,2,Inactivos Totales
1206802,2,Inactivos Totales
1206803,8,Emergentes Premium
1206804,1,Universitarios Estándar
1206805,8,Emergentes Premium
1206806,6,Alto Potencial Virgen
1206807,5,Jóvenes Activos Básicos
1206808,6,Alto Potencial Virgen
1206809,3,Profesionales Dormidos
1206810,5,Jóvenes Activos Básicos
1206811,2,Inactivos Totales
1206812,8,Emergentes Premium
1206813,5,Jóvenes Activos Básicos
1206814,5,Jóvenes Activos Básicos
1206815,2,Inactivos Totales
1206816,6,Alto Potencial Virgen
1206817,6,Alto Potencial Virgen
1206818,2,Inactivos Totales
1206819,5,Jóvenes Activos Básicos
1206820,3,Profesionales Dormidos
1206821,6,Alto Potencial Virgen
1206822,1,Universitarios Estándar
1206823,6,Alto Potencial Virgen
1206824,5,Jóvenes Activos Básicos
1206825,8,Emergentes Premium
1206826,2,Inactivos Totales
1206827,6,Alto Potencial Virgen
1206828,6,Alto Potencial Virgen
1206829,5,Jóvenes Activos Básicos
1206830,6,Alto Potencial Virgen
1206831,5,Jóvenes Activos Básicos
1206832,1,Universitarios Estándar
1206833,5,Jóvenes Activos Básicos
1206834,6,Alto Potencial Virgen
1206835,5,Jóvenes Activos Básicos
1206836,7,Valor Medio-Alto
1206837,6,Alto Potencial Virgen
1206838,6,Alto Potencial Virgen
1206839,1,Universitarios Estándar
1206840,5,Jóvenes Activos Básicos
1206841,7,Valor Medio-Alto
1206842,6,Alto Potencial Virgen
1206843,6,Alto Potencial Virgen
1206844,6,Alto Potencial Virgen
1206845,1,Universitarios Estándar
1206846,6,Alto Potencial Virgen
1206847,5,Jóvenes Activos Básicos
1206848,5,Jóvenes Activos Básicos
1206849,6,Alto Potencial Virgen
1206850,5,Jóvenes Activos Básicos
1206851,6,Alto Potencial Virgen
1206852,5,Jóvenes Activos Básicos
1206853,6,Alto Potencial Virgen
1206854,5,Jóvenes Activos Básicos
1206855,5,Jóvenes Activos Básicos
1206856,6,Alto Potencial Virgen
